event_date,retail_unit_code,store_no,n_transactions
2024-08-20,DE,068,10596
2024-08-21,DE,068,10566
2024-08-22,DE,068,11381
2024-08-23,DE,068,11363
2024-08-24,DE,068,9826
2024-08-25,DE,068,5094
2024-08-26,DE,068,9272
2024-08-27,DE,068,10663
2024-08-28,DE,068,11126
2024-08-29,DE,068,11126
2024-08-30,DE,068,12380
2024-08-31,DE,068,10732
2024-09-01,DE,068,4600
2024-09-02,DE,068,8950
2024-09-03,DE,068,9891
2024-09-04,DE,068,10797
2024-09-05,DE,068,10979
2024-09-06,DE,068,10678
2024-09-07,DE,068,10105
2024-09-08,DE,068,5258
2024-09-09,DE,068,10338
2024-09-10,DE,068,11157
2024-09-11,DE,068,11678
2024-09-12,DE,068,11538
2024-09-13,DE,068,11339
2024-09-14,DE,068,10705
2024-09-15,DE,068,5686
2024-09-16,DE,068,10046
2024-09-17,DE,068,10978
2024-09-18,DE,068,10877
2024-09-19,DE,068,11062
2024-09-20,DE,068,11317
2024-09-21,DE,068,10462
2024-09-22,DE,068,4904
2024-09-23,DE,068,10378
2024-09-24,DE,068,10606
2024-09-25,DE,068,12004
2024-09-26,DE,068,12094
2024-09-27,DE,068,12181
2024-09-28,DE,068,11485
2024-09-29,DE,068,6029
2024-09-30,DE,068,11531
